lemma,original_form,reason,url
отдел,Отдел,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
новый,Новая,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
академический,академических,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
видеостудия,Видеостудия,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
далее,далее,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
майский,Майские,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
май,мая,pymorphy3:Geox,https://social.hse.ru/?vision=enabledq?vision=enabled
из,из,pymorphy3:Name,https://social.hse.ru/?vision=enabledq?vision=enabled
больший,больших,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
также,также,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
ведущий,ведущих,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
узбекистан,Узбекистана,pymorphy3:Geox,https://social.hse.ru/?vision=enabledq?vision=enabled
это,Это,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
уже,уже,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
лицейский,Лицейские,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
посещение,посещение,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
москва,Москве,pymorphy3:Geox,https://social.hse.ru/?vision=enabledq?vision=enabled
университетский,Университетская,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
довузовский,довузовская,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
сотрудничество,сотрудничество,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
апрель,апреля,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
психологический,психологическое,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
экономический,экономическая,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
насколько,насколько,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
они,их,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
такой,Такой,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
апрельский,Апрельской,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
г,Г,pymorphy3:Abbr,https://social.hse.ru/?vision=enabledq?vision=enabled
ясин,Ясина,pymorphy3:Name,https://social.hse.ru/?vision=enabledq?vision=enabled
как,как,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
ия,ИИ,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
использование,использование,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
у,у,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
перед,перед,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
другой,другие,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
всё,Все,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
россия,России,pymorphy3:Geox,https://social.hse.ru/?vision=enabledq?vision=enabled
кросс-культурный,Кросс-культурный,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
сайт,сайт,mid_sentence_cap,https://cogres.hse.ru
для,Для,mid_sentence_cap,https://cogres.hse.ru
мы,Мы,mid_sentence_cap,https://cogres.hse.ru
файл,файлы,mid_sentence_cap,https://cogres.hse.ru
ниу,НИУ,abbreviation_allcaps,https://cogres.hse.ru
вшэ,ВШЭ,abbreviation_allcaps,https://cogres.hse.ru
и,и,pymorphy3:Abbr,https://cogres.hse.ru
он,его,mid_sentence_cap,https://cogres.hse.ru
более,Более,mid_sentence_cap,https://cogres.hse.ru
можно,можно,mid_sentence_cap,https://cogres.hse.ru
найти,найти,mid_sentence_cap,https://cogres.hse.ru
здесь,здесь,mid_sentence_cap,https://cogres.hse.ru
наш,наши,mid_sentence_cap,https://cogres.hse.ru
данные,данных,mid_sentence_cap,https://cogres.hse.ru
ваш,Вашего,mid_sentence_cap,https://cogres.hse.ru
абв,АБВ,abbreviation_allcaps,https://cogres.hse.ru
а,А,"pymorphy3:Abbr,Name",https://cogres.hse.ru
русый,РУС,abbreviation_allcaps,https://cogres.hse.ru
научно-учебный,Научно-учебная,mid_sentence_cap,https://cogres.hse.ru
текущий,Текущие,mid_sentence_cap,https://cogres.hse.ru
прошедшее,Прошедшие,mid_sentence_cap,https://cogres.hse.ru
печенкова,Печенкова,pymorphy3:Geox,https://cogres.hse.ru
екатерина,Екатерина,pymorphy3:Name,https://cogres.hse.ru
василиевич,Васильевна,pymorphy3:Patr,https://cogres.hse.ru
г,г,pymorphy3:Abbr,https://cogres.hse.ru
москва,Москва,pymorphy3:Geox,https://cogres.hse.ru
армянский,Армянский,mid_sentence_cap,https://cogres.hse.ru
пер,пер,pymorphy3:Abbr,https://cogres.hse.ru
далее,д,pymorphy3:Abbr,https://cogres.hse.ru
комн,комн,"pymorphy3:Abbr,Geox",https://cogres.hse.ru
стакин,Стакина,pymorphy3:Name,https://cogres.hse.ru
юлия,Юлия,pymorphy3:Name,https://cogres.hse.ru
михаилович,Михайловна,pymorphy3:Patr,https://cogres.hse.ru
высокий,Высшая,mid_sentence_cap,https://cogres.hse.ru
исследовательский,исследовательский,mid_sentence_cap,https://cogres.hse.ru
вконтакте,ВКонтакте,mid_sentence_cap,https://cogres.hse.ru
магистерский,Магистерская,mid_sentence_cap,https://cogres.hse.ru
бакалаврский,Бакалаврская,mid_sentence_cap,https://cogres.hse.ru
её,её,mid_sentence_cap,https://cogres.hse.ru
спасибо,Спасибо,mid_sentence_cap,https://cogres.hse.ru
только,только,mid_sentence_cap,https://cogres.hse.ru
изучение,изучение,mid_sentence_cap,https://cogres.hse.ru
чем,Чем,mid_sentence_cap,https://cogres.hse.ru
из,из,pymorphy3:Name,https://cogres.hse.ru
всё,Все,mid_sentence_cap,https://cogres.hse.ru
поступать,Поступающим,mid_sentence_cap,https://cogres.hse.ru
университетский,Университетская,mid_sentence_cap,https://cogres.hse.ru
валерий,Валерия,pymorphy3:Name,https://cogres.hse.ru
дмитриевич,Дмитриевича,pymorphy3:Patr,https://cogres.hse.ru
соловьёв,Соловьева,pymorphy3:Surn,https://cogres.hse.ru
октябрь,октября,mid_sentence_cap,https://cogres.hse.ru
казанский,Казанского,pymorphy3:Surn,https://cogres.hse.ru
новый,Новые,mid_sentence_cap,https://cogres.hse.ru
д-р,д-р,pymorphy3:Abbr,https://cogres.hse.ru
физ,физ,mid_sentence_cap,https://cogres.hse.ru
мультидисциплинарный,Мультидисциплинарные,mid_sentence_cap,https://cogres.hse.ru
поздравлять,Поздравляем,mid_sentence_cap,https://cogres.hse.ru
мария,Марию,pymorphy3:Name,https://cogres.hse.ru
рассказов,Рассказову,pymorphy3:Geox,https://cogres.hse.ru
